Date/Time,CPU Usage %,Memory Available
2022-04-03 12:42:48.005785,3.3,20.60164261
2022-04-03 12:42:58.704594,3.3,20.73511505
2022-04-03 12:43:09.351267,12.4,21.44223022
2022-04-03 12:43:19.971258,7.9,22.48750687
2022-04-03 12:43:30.644363,5.7,22.5006485
2022-04-03 12:43:41.277928,7.4,22.32141876
2022-04-03 12:43:51.950075,4.3,22.33652115
2022-04-03 12:44:02.531772,3,22.39130783
2022-04-03 12:44:13.117177,4,22.39387894
2022-04-03 12:44:23.611935,5.8,22.39031982
2022-04-03 12:44:34.221248,7.3,22.08716965
2022-04-03 12:44:44.765950,2.7,22.10110474
2022-04-03 12:44:55.269245,1.9,22.10951614
2022-04-03 12:45:05.837289,4,22.10471344
2022-04-03 12:45:16.277913,2.4,22.13550186
2022-04-03 12:45:26.793894,3.5,22.15554047
2022-04-03 12:45:37.198035,2.6,22.13934708
2022-04-03 12:45:47.774580,2.7,22.13104248
2022-04-03 12:45:58.304575,3.3,22.05641174
2022-04-03 12:46:08.724599,1.8,22.05794907
2022-04-03 12:46:19.366809,1.8,22.05081558
2022-04-03 12:46:29.869606,4.8,21.88508606
2022-04-03 12:46:40.334573,5.4,21.85380936
2022-04-03 12:46:50.900619,4.2,21.92710495
2022-04-03 12:47:01.414588,2.2,21.94866943
2022-04-03 12:47:11.919837,1.6,21.94959259
2022-04-03 12:47:22.477899,2.1,21.94735718
2022-04-03 12:47:32.924564,1.8,21.95393753
2022-04-03 12:47:43.643866,2.1,21.94303513
2022-04-03 12:47:54.219229,2,21.99554062
2022-04-03 12:48:04.754564,1.3,21.99426651
2022-04-03 12:48:15.168819,1.5,22.00510406
2022-04-03 12:48:25.661227,2.3,22.01154709
2022-04-03 12:48:36.187902,1.3,22.01117706
2022-04-03 12:48:46.581294,2.2,21.98967743
2022-04-03 12:48:57.093286,1.2,21.9888916
2022-04-03 12:49:07.500118,2.3,21.98222351
2022-04-03 12:49:17.977919,2.2,21.98538208
2022-04-03 12:49:28.381228,2.1,21.98389816
2022-04-03 12:49:38.794559,1.4,21.97996902
2022-04-03 12:49:49.375350,2.3,21.97509003
2022-04-03 12:49:59.882048,2.2,21.97113037
2022-04-03 12:50:10.288554,2.3,21.97243118
2022-04-03 12:50:20.794547,2.3,21.97935867
2022-04-03 12:50:31.386419,2.1,21.97591782
2022-04-03 12:50:41.797883,2.3,21.97588348
2022-04-03 12:50:52.194552,2.5,22.01988983
2022-04-03 12:51:02.627880,1.7,22.01927567
2022-04-03 12:51:13.024569,1,22.02735519
2022-04-03 12:51:23.551810,1,22.0327301
2022-04-03 12:51:34.072683,1.6,22.00979614
2022-04-03 12:51:44.497870,1.2,22.03002167
2022-04-03 12:51:55.104548,1.7,22.01916885
2022-04-03 12:52:05.576492,0.8,22.015522
2022-04-03 12:52:15.987874,1.9,22.01012802
2022-04-03 12:52:26.557914,1.3,22.01370621
2022-04-03 12:52:37.053027,1.4,22.01390457
2022-04-03 12:52:47.699987,1.4,22.02457809
2022-04-03 12:52:58.214554,1.2,22.02852249
2022-04-03 12:53:08.643122,0.9,22.02902222
2022-04-03 12:53:19.130835,1,22.02595901
2022-04-03 12:53:29.596966,1,22.02606964
2022-04-03 12:53:39.991202,1,22.01609802
2022-04-03 12:53:50.459744,1,22.02287674
